[16:28:11:109]	[OPER] ----- Initialize -----
[16:28:11:111]	[SEND] RESET
[16:28:11:155]	[RECV] A
[16:28:11:156]	[RECV] O
[16:28:11:161]	[SEND] HOM
[16:28:11:200]	[RECV] A
[16:28:28:640]	[RECV] O
[16:28:28:643]	[SEND] STATUS
[16:28:28:696]	[RECV] A
[16:28:28:697]	[RECV] S4150142B
[16:28:28:699]	[OPER] ----- Result : Completed, Description : 
[16:28:28:700]	[OPER] ----- ChangeToFoup -----
[16:28:28:700]	[SEND] RESET
[16:28:28:743]	[RECV] A
[16:28:28:744]	[RECV] O
[16:28:28:748]	[SEND] OC_MODE OFF
[16:28:28:797]	[RECV] A
[16:28:28:798]	[RECV] O
[16:28:28:802]	[SEND] STATUS
[16:28:28:853]	[RECV] A
[16:28:28:854]	[RECV] S4150142B
[16:28:28:856]	[OPER] ----- Result : Completed, Description : 
