[00:02:00:494]	[SEND] Port : 1, Title : RequestApproachLoading [Key : SubstrateName, Value : ZFWL391.2] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:02:00:605]	[RECV] Port : 1, Title : ResponseApproachLoading [Key : , Value : ]
[00:02:00:605]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:02:03:598]	[SEND] Port : 1, Title : RequestActionLoading [Key : SubstrateName, Value : ZFWL391.2] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:02:03:714]	[RECV] Port : 1, Title : ResponseActionLoading [Key : , Value : ]
[00:02:03:714]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:02:08:319]	[SEND] Port : 1, Title : RequestConfirmLoading [Key : SubstrateName, Value : ZFWL391.2] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:02:08:431]	[RECV] Port : 1, Title : ResponseConfirmLoading [Key : , Value : ]
[00:02:08:431]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:02:16:398]	[SEND] Port : 1, Title : RequestApproachLoading [Key : SubstrateName, Value : ZFWL391.3] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:02:16:509]	[RECV] Port : 1, Title : ResponseApproachLoading [Key : , Value : ]
[00:02:16:509]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:02:19:501]	[SEND] Port : 1, Title : RequestActionLoading [Key : SubstrateName, Value : ZFWL391.3] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:02:19:615]	[RECV] Port : 1, Title : ResponseActionLoading [Key : , Value : ]
[00:02:19:615]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:02:32:265]	[SEND] Port : 2, Title : RequestApproachLoading [Key : SubstrateName, Value : MAO63842.0] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:32:377]	[RECV] Port : 2, Title : ResponseApproachLoading [Key : , Value : ]
[00:02:32:377]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:02:35:370]	[SEND] Port : 2, Title : RequestActionLoading [Key : SubstrateName, Value : MAO63842.0] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:35:481]	[RECV] Port : 2, Title : ResponseActionLoading [Key : , Value : ]
[00:02:35:481]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:02:40:078]	[SEND] Port : 2, Title : RequestConfirmLoading [Key : SubstrateName, Value : MAO63842.0] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:40:185]	[RECV] Port : 2, Title : ResponseConfirmLoading [Key : , Value : ]
[00:02:40:185]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:02:48:251]	[SEND] Port : 2, Title : RequestApproachLoading [Key : SubstrateName, Value : MAO63842.1] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:48:360]	[RECV] Port : 2, Title : ResponseApproachLoading [Key : , Value : ]
[00:02:48:360]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:02:51:354]	[SEND] Port : 2, Title : RequestActionLoading [Key : SubstrateName, Value : MAO63842.1] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:51:458]	[RECV] Port : 2, Title : ResponseActionLoading [Key : , Value : ]
[00:02:51:458]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:02:56:049]	[SEND] Port : 2, Title : RequestConfirmLoading [Key : SubstrateName, Value : MAO63842.1] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:02:56:150]	[RECV] Port : 2, Title : ResponseConfirmLoading [Key : , Value : ]
[00:02:56:150]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:03:04:200]	[SEND] Port : 2, Title : RequestApproachLoading [Key : SubstrateName, Value : MAO63842.2] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:03:04:314]	[RECV] Port : 2, Title : ResponseApproachLoading [Key : , Value : ]
[00:03:04:314]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:03:07:307]	[SEND] Port : 2, Title : RequestActionLoading [Key : SubstrateName, Value : MAO63842.2] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Empty]
[00:03:07:417]	[RECV] Port : 2, Title : ResponseActionLoading [Key : , Value : ]
[00:03:07:417]	[SEND] Response Message > Port : 2, Ack : Ack, 
[00:03:12:020]	[SEND] Port : 3, Title : RequestApproachUnloading
[00:03:12:128]	[RECV] Port : 3, Title : ResponseApproachUnloading [Key : SubstrateName, Value : ZFWL391.1] [Key : LotId, Value : ] [Key : SubstrateType, Value : Core] [Key : RecipeId, Value : ]
[00:03:12:128]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:03:15:324]	[SEND] Port : 3, Title : RequestActionUnloading [Key : SubstrateName, Value : ZFWL391.1] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:03:15:433]	[RECV] Port : 3, Title : ResponseActionUnloading [Key : , Value : ]
[00:03:15:433]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:03:18:234]	[SEND] Port : 3, Title : RequestConfirmUnloading
[00:03:18:344]	[RECV] Port : 3, Title : ResponseConfirmUnloading [Key : , Value : ]
[00:03:18:344]	[SEND] Response Message > Port : 3, Ack : Ack, 
[00:03:33:318]	[SEND] Port : 1, Title : RequestApproachLoading [Key : SubstrateName, Value : ZFWL391.4] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
[00:03:33:427]	[RECV] Port : 1, Title : ResponseApproachLoading [Key : , Value : ]
[00:03:33:427]	[SEND] Response Message > Port : 1, Ack : Ack, 
[00:03:36:420]	[SEND] Port : 1, Title : RequestActionLoading [Key : SubstrateName, Value : ZFWL391.4] [Key : LotId, Value : ] [Key : RecipeId, Value : ] [Key : SubstrateType, Value : Core]
