[12:12:10:060]	[RECV] C00000020
[12:12:11:692]	[RECV] C00000010
[16:28:11:111]	[OPER] ----- Initialize -----
[16:28:11:111]	[SEND] RESET
[16:28:11:159]	[RECV] A
[16:28:11:160]	[RECV] O
[16:28:11:163]	[SEND] HOM
[16:28:11:206]	[RECV] A
[16:28:22:706]	[RECV] O
[16:28:22:710]	[SEND] STATUS
[16:28:22:761]	[RECV] A
[16:28:22:762]	[RECV] S7350142B
[16:28:22:764]	[OPER] ----- Result : Completed, Description : 
[16:28:22:765]	[OPER] ----- ChangeToCassette -----
[16:28:22:765]	[SEND] RESET
[16:28:22:808]	[RECV] A
[16:28:22:809]	[RECV] O
[16:28:22:813]	[SEND] OC_MODE ON
[16:28:22:861]	[RECV] A
[16:28:22:862]	[RECV] O
[16:28:22:865]	[SEND] STATUS
[16:28:22:917]	[RECV] A
[16:28:22:918]	[RECV] S7350142B
[16:28:22:918]	[OPER] ----- Result : Completed, Description : 
